"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"65","EUMA / JUAR",0.573937271712073,0.101950299016819,68,1,-3.12574031155891,0.175308494605876
"66","EUMA / JUGE",0.726363026575282,0.131994518226061,68,1,-1.75933175556201,0.946424590724026
"67","EUMA / JUTO",0.985243248170655,0.196669900630926,68,1,-0.0744767316051285,1
"68","EUMA / MUAS",0.789983226433714,0.144861768407967,68,1,-1.28559429456357,0.997736146195204
"69","EUMA / PUNU",0.810793812974985,0.149471463231757,68,1,-1.13772290011016,0.999487266894203
"70","EUMA / RUMA",3.12030757406087,0.73464721355232,68,1,4.83319946951346,0.001023255425042
"71","EUMA / SCAC",0.670846814221781,0.121085656131372,68,1,-2.21175454743313,0.739006236522798
"72","EUMA / SCAM",0.540307720824676,0.105857414772151,68,1,-3.14217309033929,0.168992018581332
"73","EUMA / SCPU",0.891647531005913,0.165030204622677,68,1,-0.619632235146482,0.999999915595207
"74","EUMA / SOCA",0.81592198491821,0.151099012547217,68,1,-1.09854021475033,0.999672201391758
"75","EUMA / SYCI",0.741462693926574,0.134683509867308,68,1,-1.64677958648254,0.969951005467529
"76","EUOC / HENU",4.25444279620295,1.03294535790763,68,1,5.96379964733528,1.40215621756701e-05
"77","EUOC / JUAR",0.663060810423177,0.114678656623759,68,1,-2.3757176633067,0.627374135087724
"78","EUOC / JUGE",0.839155916160912,0.148714683306235,68,1,-0.989501054347225,0.999917899545656
"79","EUOC / JUTO",1.13823621290051,0.22281698295254,68,1,0.661433833659157,0.999999768321062
"80","EUOC / MUAS",0.912655344332879,0.163340744276053,68,1,-0.510674365733033,0.999999996022579
"81","EUOC / PUNU",0.936697491545718,0.168560044416209,68,1,-0.363403058825604,0.999999999984431
"82","EUOC / RUMA",3.60484284746767,0.836370573419449,68,1,5.52675029608908,7.73353117442532e-05
"83","EUOC / SCAC",0.775018898808945,0.136394904865374,68,1,-1.44820227542835,0.991513768120083
"84","EUOC / SCAM",0.624209112921379,0.119957439589527,68,1,-2.45229421329288,0.572707862932822
"85","EUOC / SCPU",1.03010653543546,0.18594873192218,68,1,0.164320864131154,1
"86","EUOC / SOCA",0.942621988894568,0.17034952721255,68,1,-0.326971695820652,0.999999999997414
"87","EUOC / SYCI",0.856600327187227,0.151681737505036,68,1,-0.874118949181659,0.999985405385499
"88","HENU / JUAR",0.155851386934842,0.0369802838592901,68,1,-7.83403182197828,6.55389365000758e-09
"89","HENU / JUGE",0.197242260939517,0.0473955905469839,68,1,-6.7556455621487,5.73574469142635e-07
"90","HENU / JUTO",0.267540608118264,0.0679600012168255,68,1,-5.19052358639557,0.000276691130774664
"91","HENU / MUAS",0.214518184413577,0.0518092927379677,68,1,-6.37377697591604,2.7153009503067e-06
"92","HENU / PUNU",0.220169252805964,0.0533366551369186,68,1,-6.24701816781665,4.52648308146841e-06
"93","HENU / RUMA",0.847312567155672,0.239462415035785,68,1,-0.586261152064446,0.999999964478298
"94","HENU / SCAC",0.182166957210153,0.0436071060737162,68,1,-7.11351178747052,1.3144637411866e-07
"95","HENU / SCAM",0.146719357345333,0.0368584138417381,68,1,-7.63974079363899,1.4767925771153e-08
"96","HENU / SCPU",0.242124899729484,0.0588016708753774,68,1,-5.84007428096513,2.28513109241657e-05
"97","HENU / SOCA",0.221561796467413,0.0538190552946747,68,1,-6.20422509543947,5.37529713673379e-06
"98","HENU / SYCI",0.201342541954433,0.0483731327210884,68,1,-6.67108504870193,8.1072032775964e-07
"99","JUAR / JUGE",1.26557911879206,0.214289039630562,68,1,1.39102597634915,0.994489493155485
"100","JUAR / JUTO",1.71663925089173,0.323920787536522,68,1,2.86371772479877,0.300197808702505
"101","JUAR / MUAS",1.37642781775989,0.235627612510697,68,1,1.86632257709881,0.914110616740127
"102","JUAR / PUNU",1.41268715752919,0.243271324620772,68,1,2.00629679675136,0.855709937710207
"103","JUAR / RUMA",5.43667004715148,1.229457498126,68,1,7.48719574875473,2.7888782949681e-08
"104","JUAR / SCAC",1.16885040802564,0.196408403948565,68,1,0.928498298301724,0.999965806990847
"105","JUAR / SCAM",0.941405528888063,0.17416661966471,68,1,-0.326372918663372,0.999999999997504
"106","JUAR / SCPU",1.55356268873443,0.268253036232665,68,1,2.55140929063603,0.501964442628265
"107","JUAR / SOCA",1.42162223144054,0.245874113427168,68,1,2.03406838988227,0.841956387264332
"108","JUAR / SYCI",1.29188803458393,0.218491852504992,68,1,1.51428369886863,0.986569067804168
"109","JUGE / JUTO",1.3564061111645,0.261360052957662,68,1,1.58205121648988,0.979353465337097
"110","JUGE / MUAS",1.08758733240924,0.190825434694805,68,1,0.47853041950585,0.999999998600554
"111","JUGE / PUNU",1.11623772591755,0.196953646043054,68,1,0.623221801194056,0.999999907661786
"112","JUGE / RUMA",4.29579626150956,0.984934005549695,68,1,6.35749323630576,2.89999491864812e-06
"113","JUGE / SCAC",0.923569605937607,0.159246100680539,68,1,-0.461123992053177,0.999999999230909
"114","JUGE / SCAM",0.743853556770592,0.140694656956235,68,1,-1.56448386794495,0.981461414855797
"115","JUGE / SCPU",1.22755082291279,0.217364964742552,68,1,1.15783920014463,0.999360895808226
"116","JUGE / SOCA",1.12329779334335,0.199096182188553,68,1,0.655986992743346,0.999999795992924
"117","JUGE / SYCI",1.02078804509432,0.177138338838478,68,1,0.118566284285026,1
"118","JUTO / MUAS",0.801815417563643,0.155782065880588,68,1,-1.13686041411219,0.999492157908241
"119","JUTO / PUNU",0.822937700390661,0.160682645783972,68,1,-0.998053038070429,0.999907743882485
"120","JUTO / RUMA",3.16704283927292,0.773958875592162,68,1,4.71725526770657,0.00154520825773197
"121","JUTO / SCAC",0.680894606958608,0.130368237427336,68,1,-2.00739316019776,0.855180198533917
"122","JUTO / SCAM",0.548400328373616,0.112493388094936,68,1,-2.92862857237823,0.265009064318818
"123","JUTO / SCPU",0.905002427229494,0.176916549059218,68,1,-0.510609205101989,0.999999996030695
"124","JUTO / SOCA",0.828142680940132,0.16221796890474,68,1,-0.962672118826025,0.999943601755961
"125","JUTO / SYCI",0.752568155430936,0.14485380328158,68,1,-1.47685331278944,0.989592151635107
"126","MUAS / PUNU",1.0263430739349,0.18288779407962,68,1,0.145920319725345,1
"127","MUAS / RUMA",3.94984028730221,0.910829708027443,68,1,5.9569833741666,1.44053155126667e-05
"128","MUAS / SCAC",0.849191212894784,0.147953600492278,68,1,-0.938253943084759,0.999960453150045
"129","MUAS / SCAM",0.683948345667833,0.130469825560466,68,1,-1.9913679523714,0.862813681949259
"130","MUAS / SCPU",1.12869172555872,0.201916880775432,68,1,0.676706739113787,0.999999671216341
"131","MUAS / SOCA",1.03283456865482,0.184895750799894,68,1,0.180468280525112,1
"132","MUAS / SYCI",0.93858030033602,0.164581527461447,68,1,-0.361484444500406,0.999999999985733
"133","PUNU / RUMA",3.84846002044806,0.890183781247938,68,1,5.82628672146893,2.41239855919284e-05
"134","PUNU / SCAC",0.827395083048665,0.14498584694626,68,1,-1.08127106946042,0.999732997882573
"135","PUNU / SCAM",0.666393492621959,0.127820118681502,68,1,-2.11603955924585,0.797468485258154
"136","PUNU / SCPU",1.09972167613645,0.197815692552589,68,1,0.528453434046418,0.999999993129165
